"","period","false_bool.mean","false_bool.sd","false_bool.count"
"1",1,0.8,0.447213595499958,5
"2",2,0.571428571428571,0.534522483824849,7
"3",3,0.571428571428571,0.534522483824849,7
"4",4,0.4,0.547722557505166,5
"5",5,0.363636363636364,0.504524979109513,11
"6",6,0.428571428571429,0.534522483824849,7
"7",7,0.5,0.707106781186548,2
"8",8,0.166666666666667,0.408248290463863,6
"9",9,0.5,0.534522483824849,8
"10",10,1,0,2
