"","period","false_bool.mean","false_bool.sd","false_bool.count"
"1",1,0.333333333333333,0.516397779494322,6
"2",2,0.5,0.707106781186548,2
"3",3,0.444444444444444,0.52704627669473,9
"4",4,0.666666666666667,0.577350269189626,3
"5",5,0.6,0.547722557505166,5
"6",6,0.5,0.547722557505166,6
"7",7,0.857142857142857,0.377964473009227,7
"8",8,0.666666666666667,0.516397779494322,6
"9",9,0.875,0.353553390593274,8
"10",10,0.5,0.534522483824849,8
