"","period","false_bool.mean","false_bool.sd","false_bool.count"
"1",1,0.454545454545455,0.522232967867094,11
"2",2,0.6,0.516397779494322,10
"3",3,0.388888888888889,0.50163132570455,18
"4",4,0.769230769230769,0.438529009653515,13
"5",5,0.666666666666667,0.516397779494322,6
"6",6,0.6875,0.478713553878169,16
"7",7,0.583333333333333,0.514928650544437,12
"8",8,0.5,0.522232967867094,12
"9",9,0.75,0.452267016866645,12
"10",10,0.4,0.516397779494322,10
